[2021-03-10 12:07:23.688] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/configuration-editing/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/configuration-editing/package.json'
[2021-03-10 12:07:23.689] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/debug-auto-launch/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/debug-auto-launch/package.json'
[2021-03-10 12:07:23.689] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/make/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/make/package.json'
[2021-03-10 12:07:23.689] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/handlebars/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/handlebars/package.json'
[2021-03-10 12:07:23.689] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/less/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/less/package.json'
[2021-03-10 12:07:23.689] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/go/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/go/package.json'
[2021-03-10 12:07:23.689] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/bat/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/bat/package.json'
[2021-03-10 12:07:23.689] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/clojure/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/clojure/package.json'
[2021-03-10 12:07:23.694] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/coffeescript/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/coffeescript/package.json'
[2021-03-10 12:07:23.694] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/groovy/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/groovy/package.json'
[2021-03-10 12:07:23.694] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/emmet/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/emmet/package.json'
[2021-03-10 12:07:23.695] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/grunt/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/grunt/package.json'
[2021-03-10 12:07:23.695] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/gulp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/gulp/package.json'
[2021-03-10 12:07:23.695] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/jake/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/jake/package.json'
[2021-03-10 12:07:23.695] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/shellscript/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/shellscript/package.json'
[2021-03-10 12:07:23.695] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/xml/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/xml/package.json'
[2021-03-10 12:07:23.695] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/ini/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/ini/package.json'
[2021-03-10 12:07:23.695] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/csharp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/csharp/package.json'
[2021-03-10 12:07:23.696] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/python/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/python/package.json'
[2021-03-10 12:07:23.696] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/lua/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/lua/package.json'
[2021-03-10 12:07:23.696] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/fsharp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/fsharp/package.json'
[2021-03-10 12:07:23.696] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/hlsl/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/hlsl/package.json'
[2021-03-10 12:07:23.696] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/merge-conflict/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/merge-conflict/package.json'
[2021-03-10 12:07:23.696] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-basics/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-basics/package.json'
[2021-03-10 12:07:23.696] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-language-features/package.json'
[2021-03-10 12:07:23.697] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-monokai/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/theme-monokai/package.json'
